latitude,longitude,depth,datetime,magnitude,event_id
36.22,141.54,28,2011-09-15T08:00:13,6.24,20110915_080013.a
-35.18,-178.68,12,2011-09-15T07:53:22,6.0,20110915_075322.a
53.07,172.97,13,2011-09-14T18:10:12,6.03,20110914_181012.a
-35.09,-178.6,12,2011-09-14T13:36:36,5.71,20110914_133636.a
-32.8,-71.88,26,2011-09-14T07:03:55,5.85,20110914_070355.a
5.73,-77.66,13,2011-09-13T04:49:40,5.53,20110913_044940.a
-3.48,144.18,12,2011-09-12T22:44:33,5.92,20110912_224433.a
-18.19,167.7,12,2011-09-11T23:37:37,5.76,20110911_233737.a
49.27,-127.17,25,2011-09-09T19:41:36,6.46,20110909_194136.a
-49.93,163.2,19,2011-09-09T19:26:07,5.94,20110909_192607.a
2.88,97.86,95,2011-09-05T17:55:14,6.69,20110905_175514.a
6.63,-82.4,24,2011-09-05T11:21:41,5.83,20110905_112141.a
-15.18,-173.44,54,2011-09-05T09:52:07,6.22,20110905_095207.a
-19.2,168.42,49,2011-09-04T21:44:23,5.86,20110904_214423.a
-38.27,-74.17,18,2011-09-03T16:20:57,5.81,20110903_162057.a
-56.57,-26.44,99,2011-09-03T04:49:03,6.37,20110903_044903.a
-12.8,166.54,94,2011-09-03T01:06:57,5.83,20110903_010657.a
51.91,-171.56,39,2011-09-02T10:55:59,6.85,20110902_105559.a
-12.56,166.32,52,2011-09-01T06:14:43,6.02,20110901_061443.a
43.6,-28.85,12,2011-08-31T12:17:29,5.57,20110831_121729.a
-6.09,153.29,13,2011-08-31T10:46:50,5.56,20110831_104650.a
-24.6,-116.04,21,2011-08-28T10:10:23,5.63,20110828_101023.a
-18.2,167.56,19,2011-08-25T14:23:48,5.52,20110825_142348.a
-18.2,167.65,14,2011-08-24T23:06:23,6.12,20110824_230623.a
37.91,-77.93,12,2011-08-23T17:51:05,5.73,20110823_175105.a
-6.68,103.93,31,2011-08-22T20:12:23,6.08,20110822_201223.a
36.01,141.99,18,2011-08-22T11:23:39,5.92,20110822_112339.a
-28.88,-176.15,15,2011-08-22T09:38:41,5.68,20110822_093841.a
-17.36,167.16,13,2011-08-22T06:04:58,5.67,20110822_060458.a
-5.89,151.04,49,2011-08-21T13:04:15,5.8,20110821_130415.a
-18.18,167.77,28,2011-08-21T00:23:40,5.63,20110821_002340.a
-18.26,167.94,36,2011-08-20T18:19:35,7.04,20110820_181935.a
-18.31,167.88,34,2011-08-20T17:13:14,6.54,20110820_171314.a
-18.52,167.94,34,2011-08-20T16:55:13,7.13,20110820_165513.a
-22.45,-174.02,16,2011-08-20T01:25:03,5.56,20110820_012503.a
37.69,141.71,48,2011-08-19T05:36:36,6.29,20110819_053636.a
36.8,143.84,12,2011-08-17T11:44:12,6.17,20110817_114412.a
-57.37,-25.0,34,2011-08-16T20:24:05,5.67,20110816_202405.a
-2.17,127.97,28,2011-08-16T11:03:59,6.02,20110816_110359.a
-0.96,-14.43,25,2011-08-14T01:29:45,5.65,20110814_012945.a
14.54,-94.98,12,2011-08-13T07:33:08,5.82,20110813_073308.a
37.02,141.25,50,2011-08-11T18:22:07,5.9,20110811_182207.a
39.86,77.22,12,2011-08-11T10:06:32,5.6,20110811_100632.a
19.26,120.86,39,2011-08-11T02:56:40,5.55,20110811_025640.a
-6.89,-12.6,18,2011-08-10T23:45:48,5.97,20110810_234548.a
27.56,64.99,58,2011-08-10T00:53:26,5.79,20110810_005326.a
-11.2,162.41,15,2011-08-08T23:53:24,5.58,20110808_235324.a
-29.71,-176.37,13,2011-08-05T16:08:52,5.68,20110805_160852.a
48.7,155.28,44,2011-08-04T13:51:37,6.09,20110804_135137.a
-3.05,100.84,46,2011-08-04T00:16:11,5.78,20110804_001611.a
-5.06,148.16,12,2011-08-03T22:39:28,5.72,20110803_223928.a
52.04,-171.3,31,2011-08-01T18:20:09,5.65,20110801_182009.a
34.65,138.39,19,2011-08-01T14:58:14,5.95,20110801_145814.a
39.87,142.31,48,2011-08-01T13:44:49,5.7,20110801_134449.a
-3.39,144.63,12,2011-07-31T23:39:04,6.61,20110731_233904.a
-17.02,171.49,12,2011-07-31T14:34:54,6.12,20110731_143454.a
37.0,141.16,53,2011-07-30T18:53:55,6.36,20110730_185355.a
-35.86,-73.53,13,2011-07-28T19:50:19,5.63,20110728_195019.a
40.31,143.6,19,2011-07-28T09:01:39,5.63,20110728_090139.a
10.9,-43.34,15,2011-07-27T23:00:33,5.93,20110727_230033.a
25.06,-109.63,18,2011-07-26T17:44:22,6.04,20110726_174422.a
-9.2,67.12,19,2011-07-26T14:26:28,5.79,20110726_142628.a
52.74,160.28,41,2011-07-26T06:17:41,5.56,20110726_061741.a
15.11,119.82,46,2011-07-25T17:15:44,5.93,20110725_171544.a
35.18,140.97,15,2011-07-25T11:54:52,5.59,20110725_115452.a
-3.13,150.61,15,2011-07-25T00:50:52,6.32,20110725_005052.a
37.7,141.66,48,2011-07-24T18:51:29,6.31,20110724_185129.a
12.96,145.56,16,2011-07-23T16:34:46,5.62,20110723_163446.a
54.71,-161.29,43,2011-07-23T06:28:38,5.66,20110723_062838.a
38.96,142.1,47,2011-07-23T04:34:27,6.33,20110723_043427.a
-62.36,165.42,16,2011-07-21T23:01:47,5.91,20110721_230147.a
-10.3,162.2,29,2011-07-20T22:05:04,5.96,20110720_220504.a
40.28,71.36,29,2011-07-19T19:35:48,6.15,20110719_193548.a
51.11,178.95,23,2011-07-18T22:38:42,5.77,20110718_223842.a
54.5,-161.07,46,2011-07-16T19:59:16,6.17,20110716_195916.a
-22.69,-174.28,13,2011-07-16T07:03:36,5.73,20110716_070336.a
-33.96,-72.19,24,2011-07-16T00:26:17,5.95,20110716_002617.a
-61.12,-22.85,12,2011-07-15T13:26:07,6.05,20110715_132607.a
36.13,140.16,67,2011-07-15T12:01:13,5.54,20110715_120113.a
-38.15,-93.76,12,2011-07-14T08:52:32,5.53,20110714_085232.a
9.65,122.11,17,2011-07-11T20:47:11,6.5,20110711_204711.a
-50.08,-114.09,15,2011-07-11T15:51:28,5.66,20110711_155128.a
-22.8,-174.22,12,2011-07-11T10:48:34,5.57,20110711_104834.a
-29.14,-176.24,12,2011-07-11T07:15:50,5.92,20110711_071550.a
-15.27,-175.83,17,2011-07-10T18:47:19,5.72,20110710_184719.a
37.98,143.33,22,2011-07-10T00:57:16,7.0,20110710_005716.a
-29.21,-176.8,23,2011-07-09T19:35:25,5.91,20110709_193525.a
-29.15,-176.73,23,2011-07-09T15:02:34,5.95,20110709_150234.a
-29.12,-176.77,25,2011-07-09T13:54:21,5.89,20110709_135421.a
-21.35,-173.94,20,2011-07-09T07:08:23,5.56,20110709_070823.a
-21.43,-173.94,18,2011-07-09T06:53:50,5.83,20110709_065350.a
1.07,-26.4,12,2011-07-08T05:53:06,5.6,20110708_055306.a
-29.14,-176.42,18,2011-07-07T09:30:04,5.82,20110707_093004.a
-28.9,-176.13,12,2011-07-07T09:10:54,5.69,20110707_091054.a
-29.22,-175.83,22,2011-07-06T19:03:32,7.58,20110706_190332.a
36.33,141.91,23,2011-07-06T15:15:05,5.72,20110706_151505.a
-14.79,-175.67,12,2011-07-05T19:02:40,5.68,20110705_190240.a
12.23,-87.98,49,2011-07-03T06:34:40,5.7,20110703_063440.a
-6.71,147.79,13,2011-07-01T16:25:50,5.56,20110701_162550.a
13.11,146.63,49,2011-07-01T13:18:53,5.61,20110701_131853.a
-23.66,-175.33,27,2011-06-30T09:09:20,5.75,20110630_090920.a
-23.64,-175.27,26,2011-06-30T04:30:55,5.65,20110630_043055.a
-33.98,-72.54,19,2011-06-29T05:36:52,5.53,20110629_053652.a
51.84,-171.82,36,2011-06-28T06:48:35,5.82,20110628_064835.a
51.92,-171.75,29,2011-06-27T23:27:35,5.82,20110627_232735.a
-2.27,136.61,13,2011-06-26T12:16:43,6.36,20110626_121643.a
18.91,146.49,77,2011-06-26T09:19:49,5.54,20110626_091949.a
-10.69,165.5,51,2011-06-24T06:33:10,6.06,20110624_063310.a
52.09,-171.77,74,2011-06-24T03:09:51,7.25,20110624_030951.a
39.99,142.51,41,2011-06-22T21:50:57,6.73,20110622_215057.a
40.13,142.89,32,2011-06-22T14:29:01,5.65,20110622_142901.a
-11.55,165.36,22,2011-06-21T02:04:21,6.01,20110621_020421.a
-55.33,-128.73,18,2011-06-19T11:05:32,5.5,20110619_110532.a
-6.12,-81.22,20,2011-06-19T00:20:05,5.6,20110619_002005.a
37.68,141.76,16,2011-06-18T11:31:08,5.82,20110618_113108.a
13.46,41.76,12,2011-06-17T09:16:12,5.62,20110617_091612.a
-6.12,151.21,22,2011-06-16T00:03:43,6.34,20110616_000343.a
37.73,143.58,20,2011-06-14T13:06:55,5.82,20110614_130655.a
1.81,99.11,17,2011-06-14T03:01:28,5.69,20110614_030128.a
1.85,99.11,21,2011-06-14T00:08:34,5.51,20110614_000834.a
2.74,126.35,82,2011-06-13T14:31:26,6.4,20110613_143126.a
-43.52,172.62,12,2011-06-13T02:20:55,5.96,20110613_022055.a
13.58,41.81,12,2011-06-12T20:32:40,5.58,20110612_203240.a
-30.29,-177.64,46,2011-06-09T20:16:32,5.56,20110609_201632.a
-44.39,-15.75,12,2011-06-07T05:18:35,5.6,20110607_051835.a
-14.96,-177.84,15,2011-06-05T16:35:10,5.93,20110605_163510.a
-56.0,146.91,12,2011-06-05T11:51:18,6.43,20110605_115118.a
37.35,143.96,20,2011-06-03T00:05:02,6.08,20110603_000502.a
-37.74,-74.41,12,2011-06-01T12:55:25,6.34,20110601_125525.a
-7.77,101.71,28,2011-05-29T18:24:05,5.86,20110529_182405.a
4.81,127.56,75,2011-05-28T20:17:12,5.5,20110528_201712.a
-5.98,103.31,26,2011-05-28T17:07:44,5.66,20110528_170744.a
39.75,143.42,25,2011-05-24T03:40:56,5.87,20110524_034056.a
37.59,143.59,17,2011-05-22T14:46:12,5.59,20110522_144612.a
35.64,140.79,49,2011-05-21T22:06:30,5.53,20110521_220630.a
-30.81,-177.96,53,2011-05-21T21:17:07,5.83,20110521_211707.a
-56.04,-26.92,46,2011-05-21T00:16:28,5.88,20110521_001628.a
-7.38,147.05,12,2011-05-20T19:43:20,5.72,20110520_194320.a
35.74,141.22,37,2011-05-20T00:46:19,5.77,20110520_004619.a
39.08,29.11,12,2011-05-19T20:15:25,5.89,20110519_201525.a
